id,date,timestamp,level,status,method,host,pathname,event_message,headers,regions,log_type,latency,log_count,logs,auth_user
c509497a-978f-4e24-a02f-563d513306c4,"""2026-07-17T14:52:52.746Z""",2026-07-17T14:52:52.746216,success,200,,,,Connection Pool initialized with a maximum size of 10 connections,{},[],postgrest,0,null,[],null
3bd35a6e-5432-43f7-bed1-29571be7de80,"""2026-07-17T14:52:52.735Z""",2026-07-17T14:52:52.735328,success,200,,,,Attempting to reconnect to the database in 32 seconds...,{},[],postgrest,0,null,[],null
151a048e-336c-40bd-9551-4ce1ee3cc581,"""2026-07-17T14:52:20.733Z""",2026-07-17T14:52:20.733881,success,200,,,,"Failed to load the schema cache using db-schemas=pg_pgrst_no_exposed_schemas and db-extra-search-path=public,extensions. {""code"":""3F000"",""details"":null,""hint"":null,""message"":""schema \""pg_pgrst_no_exposed_schemas\"" does not exist""}",{},[],postgrest,0,null,[],null
b749561f-5835-4684-8045-85cdef209f78,"""2026-07-17T14:52:20.720Z""",2026-07-17T14:52:20.720826,success,200,,,,Config reloaded,{},[],postgrest,0,null,[],null
8fb9dfe5-f970-4d97-bde3-cc8e898ee94b,"""2026-07-17T14:52:20.713Z""",2026-07-17T14:52:20.713393,success,200,,,,"Successfully connected to PostgreSQL 17.6 on x86_64-pc-linux-gnu, compiled by gcc (GCC) 15.2.0, 64-bit",{},[],postgrest,0,null,[],null
e4cf1f91-1781-4219-8a97-abc41638a72d,"""2026-07-17T14:52:20.713Z""",2026-07-17T14:52:20.713393,success,200,,,,Connection Pool initialized with a maximum size of 10 connections,{},[],postgrest,0,null,[],null
d580b60c-619e-4413-a9d9-9024c35afa92,"""2026-07-17T14:52:20.700Z""",2026-07-17T14:52:20.700363,success,200,,,,Attempting to reconnect to the database in 32 seconds...,{},[],postgrest,0,null,[],null
d1d81e8e-faa4-4bef-b485-032f69a0d11c,"""2026-07-17T14:51:48.699Z""",2026-07-17T14:51:48.699511,success,200,,,,"Failed to load the schema cache using db-schemas=pg_pgrst_no_exposed_schemas and db-extra-search-path=public,extensions. {""code"":""3F000"",""details"":null,""hint"":null,""message"":""schema \""pg_pgrst_no_exposed_schemas\"" does not exist""}",{},[],postgrest,0,null,[],null
cb7182a0-8883-4a49-a59f-e8ba08fdb9c2,"""2026-07-17T14:51:48.686Z""",2026-07-17T14:51:48.686149,success,200,,,,Config reloaded,{},[],postgrest,0,null,[],null
3c74bbe8-4b20-46c8-baf4-e85577cfe9b3,"""2026-07-17T14:51:48.678Z""",2026-07-17T14:51:48.678961,success,200,,,,Connection Pool initialized with a maximum size of 10 connections,{},[],postgrest,0,null,[],null
039d135a-8688-48ce-853f-b19c643ce6a3,"""2026-07-17T14:51:48.678Z""",2026-07-17T14:51:48.678961,success,200,,,,"Successfully connected to PostgreSQL 17.6 on x86_64-pc-linux-gnu, compiled by gcc (GCC) 15.2.0, 64-bit",{},[],postgrest,0,null,[],null
5256e3e7-1d1a-4f3e-ac5d-b348a946dcac,"""2026-07-17T14:51:48.668Z""",2026-07-17T14:51:48.668066,success,200,,,,Attempting to reconnect to the database in 32 seconds...,{},[],postgrest,0,null,[],null
9a80542c-4e97-4b4a-82c3-6c65c9ba42f7,"""2026-07-17T14:51:16.666Z""",2026-07-17T14:51:16.666616,success,200,,,,"Failed to load the schema cache using db-schemas=pg_pgrst_no_exposed_schemas and db-extra-search-path=public,extensions. {""code"":""3F000"",""details"":null,""hint"":null,""message"":""schema \""pg_pgrst_no_exposed_schemas\"" does not exist""}",{},[],postgrest,0,null,[],null
bd6882d3-edec-4b56-a6f9-14550e33cc4a,"""2026-07-17T14:51:16.653Z""",2026-07-17T14:51:16.653607,success,200,,,,Config reloaded,{},[],postgrest,0,null,[],null
5f38fb2c-56ac-4d53-923e-fc3b7f27e7a4,"""2026-07-17T14:51:16.646Z""",2026-07-17T14:51:16.646528,success,200,,,,"Successfully connected to PostgreSQL 17.6 on x86_64-pc-linux-gnu, compiled by gcc (GCC) 15.2.0, 64-bit",{},[],postgrest,0,null,[],null
6c570111-5a83-4bbd-81c9-8e3a90900cb8,"""2026-07-17T14:51:16.646Z""",2026-07-17T14:51:16.646528,success,200,,,,Connection Pool initialized with a maximum size of 10 connections,{},[],postgrest,0,null,[],null
f7df8b55-a42a-44b7-a1f1-409cc645b80f,"""2026-07-17T14:51:16.635Z""",2026-07-17T14:51:16.635727,success,200,,,,Attempting to reconnect to the database in 32 seconds...,{},[],postgrest,0,null,[],null
2e152722-3f1f-4c9b-b6b0-402812e7d97d,"""2026-07-17T14:50:44.633Z""",2026-07-17T14:50:44.633700,success,200,,,,"Failed to load the schema cache using db-schemas=pg_pgrst_no_exposed_schemas and db-extra-search-path=public,extensions. {""code"":""3F000"",""details"":null,""hint"":null,""message"":""schema \""pg_pgrst_no_exposed_schemas\"" does not exist""}",{},[],postgrest,0,null,[],null
19701999-4f2c-4f7d-ba4b-2cfa5df25974,"""2026-07-17T14:50:44.620Z""",2026-07-17T14:50:44.620586,success,200,,,,Config reloaded,{},[],postgrest,0,null,[],null
1a2bcfbe-e50d-4488-a2be-058bd142c0bd,"""2026-07-17T14:50:44.613Z""",2026-07-17T14:50:44.613283,success,200,,,,Connection Pool initialized with a maximum size of 10 connections,{},[],postgrest,0,null,[],null
616f57cb-73ea-496f-8e4a-79b46e0dce8a,"""2026-07-17T14:50:44.613Z""",2026-07-17T14:50:44.613283,success,200,,,,"Successfully connected to PostgreSQL 17.6 on x86_64-pc-linux-gnu, compiled by gcc (GCC) 15.2.0, 64-bit",{},[],postgrest,0,null,[],null
d1122bf4-539a-4c0e-a28c-01a6717d2e90,"""2026-07-17T14:50:44.602Z""",2026-07-17T14:50:44.602464,success,200,,,,Attempting to reconnect to the database in 32 seconds...,{},[],postgrest,0,null,[],null
37a9960d-b917-4f7e-b0c0-dcc16aadb53e,"""2026-07-17T14:50:12.600Z""",2026-07-17T14:50:12.600930,success,200,,,,"Failed to load the schema cache using db-schemas=pg_pgrst_no_exposed_schemas and db-extra-search-path=public,extensions. {""code"":""3F000"",""details"":null,""hint"":null,""message"":""schema \""pg_pgrst_no_exposed_schemas\"" does not exist""}",{},[],postgrest,0,null,[],null
0d06434a-859b-4afe-ab51-80f68a174bca,"""2026-07-17T14:50:12.587Z""",2026-07-17T14:50:12.587578,success,200,,,,Config reloaded,{},[],postgrest,0,null,[],null
c0cd08ab-7ae4-4411-b25d-5cae8f486fa7,"""2026-07-17T14:50:12.580Z""",2026-07-17T14:50:12.580328,success,200,,,,"Successfully connected to PostgreSQL 17.6 on x86_64-pc-linux-gnu, compiled by gcc (GCC) 15.2.0, 64-bit",{},[],postgrest,0,null,[],null
5d9248f8-ce50-4d54-9f6a-0014bf90cda7,"""2026-07-17T14:50:12.580Z""",2026-07-17T14:50:12.580328,success,200,,,,Connection Pool initialized with a maximum size of 10 connections,{},[],postgrest,0,null,[],null
35b1b366-5a24-447b-aacb-7934f59efb0c,"""2026-07-17T14:50:12.569Z""",2026-07-17T14:50:12.569303,success,200,,,,Attempting to reconnect to the database in 32 seconds...,{},[],postgrest,0,null,[],null
